V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,mTurkCode,Q6,Q9,Q1,Q2,Q4,Q5,Q11,Q10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,mTurkCode,"Thank you for taking part in this survey. In this survey, we will ask you a few questions about f...",You are serving as the prize administrator of a game of chance that is to be played by a class of...,Prize Package Set 1. You may award one of the two following packages to the 100 students:,Prize Package Set 1. You may award one of the two following packages to the 100 students:,Prize Package Set 2. You may award one of the two following packages to the 100 students:,Prize Package Set 2. You may award one of the two following packages to the 100 students:,"How are you feeling right now? Although we would like to know how you are feeling, please select...","Please let us know if you have comments about the survey (optional). Following which, click next...",LocationLatitude,LocationLongitude,LocationAccuracy,
R_6LK9q2iacSDL04x,Default Response Set,Anonymous,,,72.237.206.163,0,2016-05-16 10:22:46,2016-05-16 10:23:46,1,170103,1,1,,2,,2,3,,37.751007080078,-97.821998596191,-1,
R_egpaf31M5Ml5Txf,Default Response Set,Anonymous,,,208.95.137.180,0,2016-05-16 10:23:17,2016-05-16 10:24:16,1,73653,1,1,2,,1,,3,,41.214004516602,-86.426200866699,-1,
R_Cg0ODOPr548ehQB,Default Response Set,Anonymous,,,24.131.19.160,0,2016-05-16 10:23:02,2016-05-16 10:24:20,1,4700107,1,1,,2,1,,3,,40.443893432617,-79.956100463867,-1,
R_1mqhW7QPucuJGLM,Default Response Set,Anonymous,,,162.138.210.3,0,2016-05-16 10:23:02,2016-05-16 10:24:25,1,7871950,1,1,2,,1,,3,NO,38.908493041992,-77.017700195312,-1,
R_2aeiieeSD3MOn5z,Default Response Set,Anonymous,,,100.14.74.155,0,2016-05-16 10:23:32,2016-05-16 10:24:40,1,2648689,1,1,,2,2,,3,,39.989303588867,-75.611999511719,-1,
R_9ZIa7oNV5f6wSTb,Default Response Set,Anonymous,,,71.85.6.163,0,2016-05-16 10:23:51,2016-05-16 10:25:25,1,6192974,1,1,,2,2,,3,Good,34.766403198242,-82.220199584961,-1,
R_3fHGWvLf68NUexV,Default Response Set,Anonymous,,,24.59.224.194,0,2016-05-16 10:24:59,2016-05-16 10:27:03,1,4014238,1,1,,2,,1,3,,42.96240234375,-75.960296630859,-1,
R_3COCVCX4n0czHto,Default Response Set,Anonymous,,,67.210.183.32,0,2016-05-16 10:25:37,2016-05-16 10:29:11,1,8638209,1,1,,2,1,,3,Great Survey!,34.579803466797,-98.487998962402,-1,
R_2rAOB5elABpsJou,Default Response Set,Anonymous,,,95.241.49.212,0,2016-05-16 10:26:33,2016-05-16 10:30:21,1,9649757,1,1,,1,1,,3,,42.619598388672,12.697601318359,-1,
R_BV2iWSqZQDnJaet,Default Response Set,Anonymous,,,71.90.170.130,0,2016-05-16 10:29:40,2016-05-16 10:31:10,1,3341502,1,1,2,,,2,3,,32.779205322266,-97.519500732422,-1,
R_2YDMsBZxi84Be0R,Default Response Set,Anonymous,,,100.3.57.142,0,2016-05-16 10:30:30,2016-05-16 10:31:22,1,8487282,1,1,2,,1,,3,,28.152099609375,-82.523002624512,-1,
R_2SIhyzAAQ6RqLYm,Default Response Set,Anonymous,,,73.199.237.169,0,2016-05-16 10:26:22,2016-05-16 10:31:37,1,6497260,1,1,1,,1,,3,Thank you! :D Have a wonderful day!,39.386993408203,-74.621696472168,-1,
R_2V7PffOQ9o8vyuX,Default Response Set,Anonymous,,,50.200.189.86,0,2016-05-16 10:30:18,2016-05-16 10:32:12,1,4666551,1,1,,2,1,,3,none. thank you.,42.015197753906,-87.990097045898,-1,
R_2e9Z4GMN27LuKZo,Default Response Set,Anonymous,,,100.37.167.171,0,2016-05-16 10:32:36,2016-05-16 10:33:21,1,9804652,1,1,1,,2,,3,,40.565994262695,-74.125801086426,-1,
R_3M5OcJu5Clhwzvw,Default Response Set,Anonymous,,,97.101.7.34,0,2016-05-16 10:30:59,2016-05-16 10:33:26,1,9582216,1,1,,2,2,,3,,29.570602416992,-81.217498779297,-1,
R_ZEtYgb1r4Qa1kPf,Default Response Set,Anonymous,,,66.194.104.5,0,2016-05-16 10:29:39,2016-05-16 10:33:31,1,5151927,1,1,,1,1,,3,,27.983901977539,-82.718101501465,-1,
R_1rHqi40KeMdTSBv,Default Response Set,Anonymous,,,98.70.57.149,0,2016-05-16 10:32:37,2016-05-16 10:33:34,1,2831719,1,1,,2,,1,3,,29.676605224609,-82.385498046875,-1,
R_26lLT8drt0tJ2OE,Default Response Set,Anonymous,,,73.52.29.61,0,2016-05-16 10:33:32,2016-05-16 10:33:51,1,5687583,1,1,1,,2,,3,,41.398803710938,-76.792198181152,-1,
R_1i86wX1zGwGhpqw,Default Response Set,Anonymous,,,98.231.225.246,0,2016-05-16 10:32:29,2016-05-16 10:33:58,1,4469755,1,1,1,,,2,3,,39.257507324219,-76.495101928711,-1,
R_1DSSAcs92gQJpha,Default Response Set,Anonymous,,,73.224.73.231,0,2016-05-16 10:31:28,2016-05-16 10:33:58,1,6091126,1,1,,2,,2,3,,30.167205810547,-81.771499633789,-1,
R_25sB5bJMCVbGjgB,Default Response Set,Anonymous,,,72.241.148.101,0,2016-05-16 10:31:09,2016-05-16 10:34:44,1,6679734,1,1,2,,,2,3,,41.794006347656,-83.587898254395,-1,
R_W2vkMhr6cuMaZa1,Default Response Set,Anonymous,,,67.43.97.24,0,2016-05-16 10:32:26,2016-05-16 10:35:00,1,5583104,1,1,2,,1,,3,,40.283706665039,-79.382102966309,-1,
R_1gcIwCz2EevBsXm,Default Response Set,Anonymous,,,12.218.182.74,0,2016-05-16 10:32:18,2016-05-16 10:35:05,1,1206642,1,1,2,,,2,3,,25.558395385742,-80.458198547363,-1,
R_8J4on4Z2XcllCjT,Default Response Set,Anonymous,,,24.104.64.110,0,2016-05-16 10:34:19,2016-05-16 10:35:08,1,3419927,1,1,1,,1,,3,,42.065505981445,-72.627098083496,-1,
R_22V6L51g1EYJ4cT,Default Response Set,Anonymous,,,173.10.91.177,0,2016-05-16 10:22:47,2016-05-16 10:35:20,1,758112,1,1,,2,2,,3,None,47.901504516602,-122.18440246582,-1,
R_2VgqXYGtJrbwnED,Default Response Set,Anonymous,,,24.213.116.145,0,2016-05-16 10:33:56,2016-05-16 10:35:54,1,8152329,1,1,,2,1,,3,Good luck!,34.73649597168,-82.796699523926,-1,
R_prXguEI9TwGZrVv,Default Response Set,Anonymous,,,71.226.54.205,0,2016-05-16 10:33:51,2016-05-16 10:35:57,1,9705433,1,1,,2,2,,2,,32.311798095703,-110.92590332031,-1,
R_12tEtGF1KNvL5ZG,Default Response Set,Anonymous,,,64.73.236.211,0,2016-05-16 10:34:24,2016-05-16 10:36:00,1,5504022,1,1,1,,1,,3,,33.195907592773,-117.37950134277,-1,
R_bmhcwmgYW15kr89,Default Response Set,Anonymous,,,75.110.154.196,0,2016-05-16 10:34:56,2016-05-16 10:36:31,1,1039540,1,1,2,,,2,2,,35.142700195312,-77.16300201416,-1,
R_1DCqqFOPEJaww4p,Default Response Set,Anonymous,,,74.8.119.71,0,2016-05-16 10:35:10,2016-05-16 10:36:33,1,1095955,1,1,2,,,2,3,,42.345092773438,-71.099296569824,-1,
R_1LNVPRX6AB1EcSO,Default Response Set,Anonymous,,,66.38.94.166,0,2016-05-16 10:35:09,2016-05-16 10:36:34,1,9449313,1,1,2,,,2,3,,37.969696044922,-86.151901245117,-1,
R_2wiZFdH2pAcLVVl,Default Response Set,Anonymous,,,205.153.204.1,0,2016-05-16 10:35:47,2016-05-16 10:36:46,1,8799819,1,1,1,,1,,3,,42.444000244141,-122.1741027832,-1,
R_2f9vmjRvkLagRaq,Default Response Set,Anonymous,,,70.59.76.93,0,2016-05-16 10:34:40,2016-05-16 10:36:53,1,2444629,1,1,2,,,2,3,,44.972900390625,-93.287300109863,-1,
R_3s6TEqFifkviBAK,Default Response Set,Anonymous,,,24.140.12.125,0,2016-05-16 10:36:34,2016-05-16 10:36:57,1,449242,1,1,,1,2,,2,Ty,40.818206787109,-81.491798400879,-1,
R_1pPYFOhWIZ9a4Po,Default Response Set,Anonymous,,,166.173.248.183,0,2016-05-16 10:35:30,2016-05-16 10:37:25,1,9876711,1,1,1,,2,,3,,33.748992919922,-84.388000488281,-1,
R_12GwcUvm4PkQ0JS,Default Response Set,Anonymous,,,108.52.24.2,0,2016-05-16 10:36:41,2016-05-16 10:37:26,1,6314823,1,1,,2,,1,3,,39.97590637207,-75.364601135254,-1,
R_PMchjonUIMWCl2h,Default Response Set,Anonymous,,,67.80.229.46,0,2016-05-16 10:31:46,2016-05-16 10:38:31,1,8815482,1,1,,1,1,,3,Nope,40.644897460938,-73.958297729492,-1,
R_3Rf8k6qKsHZxezx,Default Response Set,Anonymous,,,71.237.224.224,0,2016-05-16 10:36:43,2016-05-16 10:38:41,1,738655,1,1,,2,,1,3,,45.355194091797,-122.86149597168,-1,
R_28G8rvLgHB0afmc,Default Response Set,Anonymous,,,73.238.228.62,0,2016-05-16 10:36:48,2016-05-16 10:38:50,1,9574518,1,1,2,,1,,3,,43.187103271484,-70.910003662109,-1,
R_XYUE53VALL9LXe9,Default Response Set,Anonymous,,,72.185.235.232,0,2016-05-16 10:38:24,2016-05-16 10:38:59,1,3372503,1,1,,1,2,,3,ty,27.789703369141,-82.728302001953,-1,
R_cHm34QCqYj6FXb3,Default Response Set,Anonymous,,,50.170.93.48,0,2016-05-16 10:37:03,2016-05-16 10:39:07,1,1100602,1,1,2,,,2,3,,47.101501464844,-122.32720184326,-1,
